LNR,RESPONSE
1754,0.9686647363223947
1770,0.9753772235461557
1465,0.9952350276702444
1470,0.9952110670904255
1478,0.9783367746108845
1782,0.9959997743838869
1485,0.996406665134977
1519,0.9743715134988101
1835,0.9780992285707101
1522,0.9957710291544802
1539,0.9955319949487148
1853,0.9719085268974875
1856,0.9807506572124094
2502,0.9959867722805457
2182,0.931460245413111
2191,0.9818234513013033
2522,0.9742330121316084
2530,0.9765873402415832
2215,0.9956165429452778
2550,0.9734435052665223
2570,0.9955724405453277
2574,0.9920317404076229
2579,0.9946052864694576
2247,0.9645949405872456
2674,0.9955866639712215
11434,0.9929677774550035
11122,0.9644121715076929
11127,0.9736101068632905
11443,0.9669898338054496
11170,0.9888589879699548
11191,0.9951651081192145
11198,0.9763574038104549
10936,0.9893018307970328
11244,0.9945171244935015
11247,0.9734054603328159
11252,0.9872805542615662
11259,0.9893018307970328
10945,0.9955559492588806
10951,0.9943199296078151
11271,0.9754829051412948
10963,0.971099183016688
11282,0.9911579498565021
11291,0.9896356755108138
10980,0.9960137974464377
10994,0.9958895874508751
10998,0.9888589879699548
11303,0.9848490695289316
11630,0.9958627725425413
11636,0.9963028452243341
11949,0.9948204379339254
11950,0.9375868486625132
11956,0.9755606037755473
11648,0.9888589879699548
11653,0.9800904683014748
11967,0.9962168182555069
11972,0.9950733948112246
11975,0.996312715645789
12110,0.9942274298712601
12113,0.9686796693215238
11712,0.9960988278778038
11716,0.9893018307970328
12000,0.9952100125228028
11722,0.9740019529734131
12023,0.9888589879699548
12046,0.9955634923897235
11762,0.9893018307970328
12071,0.9953906189302357
12077,0.9907103504672109
11785,0.9687536560994501
11788,0.9937642058408764
11790,0.9959454513782524
11800,0.979398047734287
11806,0.9958105600181795
11816,0.99635492673576
11505,0.995955150581139
11837,0.9960748032331648
11531,0.976760008644954
11848,0.9955446945797498
11854,0.9960534983740662
11877,0.995389431096705
11563,0.9955784817111498
11567,0.9960500124740991
11894,0.991125695169717
11906,0.995508317027432
11917,0.9888589879699548
11610,0.9888589879699548
11923,0.994711392866846
12596,0.991287026925965
12603,0.9960823428917185
12608,0.9947895826054166
12633,0.9869629276277669
12637,0.9947109933554078
21484,0.9893018307970328
21184,0.9952086331719603
21247,0.9945231228401374
20991,0.9660210212405367
21018,0.9956639600470336
21019,0.9760507154540572
21047,0.9936570074014955
21054,0.9957911641957358
21374,0.9914890240994214
21392,0.9955033009783014
21713,0.9953049743219571
22019,0.9957567284453529
22025,0.9709234019184605
21722,0.9785800805266887
21728,0.9964448208712984
22039,0.9888589879699548
22044,0.9958269604568047
61900,0.9939746788622327
62548,0.9745497322530032
63176,0.9963518996532215
64473,0.9727978978848025
64779,0.9602874833081965
64780,0.9954617087091453
64784,0.9944237090318474
65105,0.9888589879699548
65431,0.972219924791846
65433,0.962917895350904
66055,0.9959566670713582
66071,0.9888589879699548
61280,0.976923771449433
61281,0.9651432800745442
61284,0.9957570038187213
61597,0.9956388575982408
61606,0.9963454773937789
62235,0.9670410145262293
62240,0.9952781808402517
62241,0.9962403370343659
62555,0.9776385522943929
62557,0.9896364481378268
62565,0.9951593325066677
62566,0.9785800805266887
